,Points de Ramassage ,Localisation Coordonnées GPS,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Distance(km)
61,"1310 logements, tassala elmerdja
","[36.6377632, 2.9466255]",3,5,7h25,7h25,E2,Soumaa,0.5757000000000001
62,"Ben chaaban 1
","[36.6199565, 2.8727002]",1,1,6h30,6h30,,Mahelma,0.0
63,"Zaatria
","[36.6432616, 2.8678913]",2,2,6h40,6h40,,Mahelma,4.5105
64,Quartier 23,"[36.6419767, 2.8854873]",5,6,6h50,6h50,G1,Mahelma,2.639
65,commissariat sidi bennour,"[36.6558948, 2.8782148]",0,1,6h55,6h55,,Mahelma,2.5171
66,"Mahelma cimetière
","[36.6768974, 2.8817989]",2,2,7h02,7h02,,Mahelma,3.4997
67,"Rond point 11 décembre
","[36.675621, 2.8839088]",1,3,7h03,7h03,,Mahelma,0.2358
68,"Douar mahelma
","[36.6734151, 2.8919172]",2,5,7h10,7h10,P3,Mahelma,0.789
69,"Terrain tenis
","[36.6835852, 2.8787214]",1,1,7h15,7h15,G1,Mahelma,2.0218
70,"Station NAFTAl Belle Vue
","[36.6867134, 2.8753512]",0,1,7h16,7h16,,Mahelma,0.6219
71,"Sidi Abdellah université
","[36.6941678, 2.868239]",1,1,7h18,7h18,,Mahelma,2.2346
72,"Arrêt de bus zeralda
","[36.7136394, 2.8452514]",3,7,7h25,7h25,,Mahelma,3.1145
73,"Geni zeralda
","[36.719287, 2.8497123]",0,1,7h26,7h26,V1,Mahelma,0.9162
74,"La caf moul
","[36.7320464, 2.8619096]",1,1,7h30,7h30,,Mahelma,1.94
75,Entrée belouta,"[36.729465, 2.8761961]",1,1,7h32,7h32,,Mahelma,2.071
76,Belouta ville,"[36.7280488, 2.8889943]",3,3,7h35,7h35,,Mahelma,1.2135
77,Belouta haouch,"[36.7319959, 2.900562]",1,1,7h37,7h37,C1,Mahelma,1.1785
78,"Bouchaoui
","[36.7434513, 2.9146838]",4,7,7h40,7h40,,Mahelma,2.1681999999999997
79,"Mosquée Abi moussa El achaari
","[36.6033322, 2.9967379]",0,1,6h20,6h20,A1,Ouled chebel,0.0
80,"El hajra mhamdia
","[36.6114895, 2.9964549]",0,1,6h21,6h21,,Ouled chebel,0.9125
81,"Poste chaibia
","[36.6239684, 2.9902533]",3,4,6h40,6h40,,Ouled chebel,3.2331999999999996
82,"Sidi Mhamed si lakhder
","[36.6246669, 2.9691544]",1,1,6h45,6h45,,Ouled chebel,2.8824
83,"Opgi birtouta
","[36.6441843, 2.9868808]",1,1,6h50,6h50,,Ouled chebel,4.659
84,"Cem soualmia
","[36.645875, 2.9861204]",2,2,6h50,6h50,,Ouled chebel,0.2358
85,"Terminus Etusa
","[36.6463823, 2.9874917]",2,2,6h50,6h50,,Ouled chebel,0.1288
86,"APC birtouta
","[36.6452974, 2.9917148]",0,1,7h05,7h05,,Ouled chebel,0.5408999999999999
87,"Centre de Formation
","[36.642981, 2.9927522]",1,1,7h05,7h05,,Ouled chebel,0.30010000000000003
88,"Placette birtouta
","[36.6449055, 2.9983127]",3,3,7h10,7h10,,Ouled chebel,0.5405
89,"Agence de voyage addech
","[36.6460356, 3.0002258]",1,1,7h15,7h15,M1,Ouled chebel,0.2397
90,"Pharmacie merad
","[36.66265, 2.9902986]",1,1,7h15,7h15,,Ouled chebel,2.2436
91,"douar Boukhris
","[36.6703065, 2.9836632]",1,1,7h20,7h20,,Ouled chebel,1.5183
92,"Opgi khraicia
","[36.6718033, 2.9816619]",0,1,7h20,7h20,,Ouled chebel,0.3399
93,"Cimetière khraicia
","[36.6724452, 2.9785364]",2,2,7h21,7h21,,Ouled chebel,0.30319999999999997
94,"Arrêt de bus entré khraicia
","[36.6745472, 2.9774029]",0,1,7h21,7h21,,Ouled chebel,0.2969
95,"Rond point khraicia
","[36.677809, 2.9839666]",2,2,7h30,7h30,,Ouled chebel,0.719
96,"Arrêt bus Cherchell
","[36.6082333, 2.1865415]",0,2,5h45,6h30,,Cherchell,0.0
97,"Usine biscuits Cherchell
","[36.5980856, 2.2459269]",1,1,6h00,6h00,,Cherchell,6.2334
98,"Douar boumaaza
","[36.5878938, 2.273603]",1,1,6h05,6h05,,Cherchell,3.5799000000000003
99,"Rond Point nadour
","[36.5671324, 2.3942994]",5,5,6h15,6h15,"C2, G1",Cherchell,12.2399
100,"Rond Point chenwa
","[36.5874297, 2.4273713]",1,1,6h18,6h18,,Cherchell,5.245
101,"Cour de Tipaza
","[36.5924694, 2.4554678]",0,2,6h20,6h20,,Cherchell,2.8925
102,"AADL tipaza
","[36.5886858, 2.4664243]",3,3,6h26,6h26,,Cherchell,1.8316
103,"Jac ma
","[36.5899156, 2.5189205]",1,1,6h32,6h32,,Cherchell,5.446
104,"Restaurant alama
","[36.592383, 2.5616739]",1,1,6h35,6h35,,Cherchell,3.8617
105,"Mosquée El fath
","[36.6025392, 2.6086407]",1,1,6h41,6h41,,Cherchell,4.3729
106,"Poste ain tagourait
","[36.603755, 2.6116441]",1,1,6h45,6h45,,Cherchell,0.302
107,"Bouharoun
","[36.6212393, 2.6517814]",2,2,6h50,6h50,,Cherchell,4.1025
108,"La fermette
","[36.6273536, 2.663341]",2,2,6h55,6h55,,Cherchell,1.2432999999999998
109,"Rond Point khemisti
","[36.633009, 2.6738281]",2,2,6h58,6h58,,Cherchell,1.1347
110,"Supérette aouane
","[36.6378714, 2.6819401]",3,3,7h00,7h00,,Cherchell,0.9046000000000001
111,"Piscine bousmail
","[36.6401692, 2.6857401]",2,2,7h03,7h03,,Cherchell,0.4248
112,"Feu rouge
","[36.64295, 2.6903924]",2,2,7h05,7h05,,Cherchell,0.5177
113,"Agence bus bousmail
","[36.6464321, 2.6961153]",8,8,7h07,7h07,,Cherchell,0.6409
114,"Énergie solaire
","[36.6610909, 2.7205592]",1,1,7h09,7h09,,Cherchell,2.727
115,Fouka marine,"[36.6699612, 2.740126]",3,5,7h13,7h13,,Cherchell,2.0142
116,"Salle des fêtes Djebel El medda
","[36.680104, 2.7688316]",2,2,7h16,7h16,,Cherchell,2.8019000000000003
117,"Oued smar
","[36.7095919, 3.1656329]",3,3,6h50,6h50,S1,Oued smar,0.0
118,Ecole mousssaoui,"[36.7095432, 3.1626537]",1,1,6h52,6h52,G1,Oued smar,0.2915
119,Lycée birouni,"[36.7101611, 3.1583018]",1,1,6h55,6h55,,Oued smar,1.0797
120,"Arrêt pharmacie
","[36.7144336, 3.1519698]",0,1,6h56,6h56,,Oued smar,0.7927000000000001
121,"Belfort
","[36.7210876, 3.1465091]",1,1,7h00,7h00,,Oued smar,1.1703
122,"Rue des cordonniers
","[36.7191242, 3.1383542]",1,1,7h05,7h05,,Oued smar,1.0248
123,Boucherie,"[36.716793, 3.1368629]",1,1,7h06,7h06,,Oued smar,0.3013
124,"Dépôt
","[36.7105192, 3.1317127]",0,2,7h07,7h07,S2,Oued smar,0.8975
125,"commissariat
","[36.7065478, 3.1278108]",2,2,7h08,7h08,,Oued smar,0.5622999999999999
126,"Hôpital zemirli
","[36.7043176, 3.1255332]",2,2,7h10,7h10,,Oued smar,0.321
127,"Ouled maamar
","[36.7723839, 3.2937885]",1,2,6h15,6h15,N1,Hraoua,0.0
128,"Station naftal ain kahla
","[36.7704164, 3.3151725]",2,2,6h25,6h25,G2,Hraoua,3.0705999999999998
129,"Ain kahla
","[36.7652857, 3.3282764]",0,1,6h30,6h30,,Hraoua,1.308
130,"Rond Point ain kahla
","[36.7589439, 3.3339536]",1,1,6h35,6h35,,Hraoua,2.1374
131,"Intersection DNC
","[36.7506855, 3.3423556]",2,2,,,G2,Hraoua,1.2366
132,DNC 1,"[36.7478315, 3.3424623]",1,1,,,G1,Hraoua,0.3175
133,DNC 2,"[36.7461959, 3.3425689]",3,3,,,,Hraoua,0.18519999999999998
134,"Gare reghaia
","[36.7358251, 3.342584]",1,1,,,G1,Hraoua,1.174
135,"Agence reghaia
","[36.7339953, 3.3439264]",1,1,,,G1,Hraoua,0.3485
136,"Kerouch  1
","[36.7342044, 3.3680411]",1,1,,,,Hraoua,2.3645
137,Kerouch  2,"[36.7326064, 3.3728678]",2,4,,,,Hraoua,0.4704
138,"AADL 1104
","[36.6883261, 2.9651566]",1,1,6h45,6h45,,Baba hassen,0.0
139,"Stade AADL
","[36.6875698, 2.9678465]",1,1,6h46,6h46,,Baba hassen,0.3693
