,,,,,,,,,,,,,,,
,Points de Ramassage ,,Localisation Coordonnées GPS,,,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Remarque,,Code,Signification
,Parc communal,,"36,7554013, 2,8888813",,,0,1,7h32,7h32,V1,Zeralda,,,,
,Club des pins,,"36,7649186, 2,8958952",,,1,1,7h35,7h35,,Zeralda,,,,
,AADL 3000 logement,,"36,6315561, 3,3427134",,,2,2,6h25,6h25,,Khmiss el khechna , ,,,
,Rond point pompiers,,"36,6607315, 3,3308966",,,0,1,6h38,6h38,,Khmiss el khechna , ,,,
,El djoumhouria,,"36,6753921, 3,1938816",,,1,1,6h55,6h55,,Khmiss el khechna , ,,,
,Remadnia,,"36,6670436, 3,1790517",,,1,1,7h02,7h02,G1,Khmiss el khechna , ,,,
,Hai El amir ,,"36,6745112, 3,1701665",,,1,1,7h05,7h05,,Khmiss el khechna , ,,,
,Ouled El hadj,,"36,6603604, 3,1548173",,,3,4,7h13,7h13,"S1, C2",Khmiss el khechna , ,,,
,Foyer,,"36,6639608, 3,1479817",,,3,3,7h17,7h17,,Khmiss el khechna , ,,,
,AADL lotissement,,"36,6659278, 3,1446658",,,3,3,7h20,7h20,C1,Khmiss el khechna , ,,,
,Rond Point eucalyptus,,"36,6526068, 3,1473131",,,0,1,7h30,7h30,V1,Khmiss el khechna , ,,,
,Baba Ali autoroute,,"36,6489295, 3,0475202",,,1,2,7h40,7h40,C1,Khmiss el khechna , ,,,
,Crèche la fonton,,"36,7865576, 3,0240143",,,1,1,07h10,07h10,,Bouzereah 1, ,,,
,Dar El alia,,"36,7900845, 3,0189476",,,1,1,07h15,07h15,,Bouzereah 1, ,,,
,Cimetière sidi Mhamed,,"36,7927694, 3,0117734",,,2,2,07h20,07h20,G2,Bouzereah 1, ,,,
,Cfpa,,"36,7970268, 3,0083217",,,1,1,07h21,07h21,,Bouzereah 1, ,,,
,Bouhamem,,"36,7968458, 3,0039145",,,2,2,07h25,07h25,,Bouzereah 1, ,,,
,Bousmaha,,"36,7963934, 2,9940554",,,3,3,07h27,07h27,,Bouzereah 1, ,,,
,Sidi Youssef,,"36,7968230, 2,9891677",,,1,1,07h28,07h28,,Bouzereah 1, ,,,
,Mosquée tawba,,"36,7963432, 2,9867417",,,1,1,,,S1,Bouzereah 1, ,,,
,Lavage,,"36,7936393, 2,9796764",,,1,1,,,,Bouzereah 1, ,,,
,Logts el amel,,"36,7931966, 2,9784359",,,1,1,07h30,07h30,,Bouzereah 1, ,,,
,Sidi Youssef 2,,"36,7838244, 2,9646543",,,5,5,07h32,07h32,,Bouzereah 1, ,,,
,Beni messous entré,,"36,7893039, 2,9699658",,,1,1,,,G1,Bouzereah 1, ,,,
,Mosquée rahma (inv),,"36,7847285, 2,9665191",,,1,1,,,,Bouzereah 1, ,,,
,Beni messous,,"36,7831896, 2,9702685",,,1,1,07h35,07h35,,Bouzereah 1, ,,,
,Geureoumi El barage,,"36,7802597, 2,9720549",,,1,1,07h40,07h40,,Bouzereah 1, ,,,
,Celeste,,"36,7953990, 3,0371997",,,1,3,7h10,7h10,S1,Bouzereah 2, ,,,
,Chemin sidi bennour,,"36,7955885, 3,0357825",,,1,1,7h11,7h11,G1,Bouzereah 2, ,,,
,Chemin sidi bennour 2,,"36,7953982, 3,0345101",,,4,4,7h14,7h14,,Bouzereah 2, ,,,
,Bouzareah,,"36,7899701, 3,0166862",,,3,3,7h16,7h16,P1,Bouzereah 2, ,,,
,Société générale,,"36,7848437, 3,0131430",,,0,1,7h18,7h18,S1,Bouzereah 2, ,,,
,Air de France,,"36,7798305, 3,0102797",,,7,7,7h20,7h20,G3,Bouzereah 2, ,,,
,Rue Djamel Eddine El afghani,,"36,7794342, 3,0038971",,,2,3,7h30,7h30,M1,Bouzereah 2, ,,,
,Thenia,,"36,7213120, 3,5705516",,,1,1,06h05,06h05,,Boumerdes,,,,
,Daïra de Boumerdes,,"36,7565336, 3,4774075",,,6,6,06h20,06h20,G3,Boumerdes,,,,
,Yssref,,"36,7575723, 3,4564726",,,1,2,06h25,06h25,S1,Boumerdes,,,,
,Corso naftal,,"36,7552109, 3,4472511",,,1,1,06h27,06h27,,Boumerdes,,,,
,Rond point berrahmoun,,"36,7442626, 3,4369337",,,2,2,7h30,7h30,,Boumerdes,,,,
,Entrée boudouaou,,"36,7219745, 3,4193277",,,1,1,7h35,7h35,G1,Boumerdes,,,,
,Benadjel,,"36,7201898, 3,3982438",,,5,5,7h37,7h37,G2,Boumerdes,,,,
,Ouled hedadj,,"36,7234971, 3,3488835",,,3,3,7h40,7h40,,Boumerdes,,,,
,Aissat,,"36,7203913, 3,3362107",,,1,1,7h43,7h43,,Boumerdes,,,,
,Rond Point hammadi,,"36,6715790, 3,2885338",,,4,4,7h55,7h55,G1,Boumerdes,,,,
,Didouche mourad,,"36,7660869, 3,0518469",,,6,6,,,E1,Alger centre,,,,
,Bibliothèque Nationale,,"36,7640674, 3,0441684",,,1,1,,,,Alger centre,,,,
,Ouagnouni,,"36,7750303, 3,0538988",,,3,3,,,,Alger centre,,,,
,Scala,,"36,774395, 3,042318",,,1,1,,,,Alger centre,,,,
,Place Kennedy,,"36,7685160, 3,0304352",,,3,3,,,,Alger centre,,,,
,Fougeroux,,"36,7701457, 3,0045066",,,2,2,,,,Alger centre,,,,
,Route Dely Brahim,,"36,7691716, 2,9873757",,,3,3,,,,Alger centre,,,,
,"Batoire
",,"36,7019473, 3,0284443
",,,1,1,6h50,6h50,,Shaoula,,,,
,"Rond point gendarmerie
",,"36,7028470, 3,0277258
",,,2,2,6h52,6h52,M1,Shaoula,,,,
,"Centre de Formation
",,"36,7007043, 3,0169980

",,,1,1,6h54,6h54,C1,Shaoula,,,,
,"Boujemaa temim
",,"36,7004747, 3,0116185
",,,4,4,6h56,6h56,,Shaoula,,,,
,"Mosquée Al anssar
",,"36,7105772, 3,0030780
",,,2,2,7h00,7h00,,Shaoula,,,,
,"Stade draria
",,"36,7168387, 2,9997514
",,,2,2,7h02,7h02,,Shaoula,,,,
,"Pharmacie boudia
",,"36,7146580, 2,9976059
",,,1,1,7h05,7h05,,Shaoula,,,,
,location number one,,"36,7077160, 2,9964875
",,,5,5,7h07,7h07,,Shaoula,,,,
,saraza,,"36,7093723, 2,9935836
",,,1,1,7h13,7h13,S1,Shaoula,,,,
,chemin des cretes,,"36,7112707, 2,9914208
",,,3,3,7h15,7h15,,Shaoula,,,,
,superette 1 2 3,,"36,7195631, 2,9937711
",,,1,1,7h17,7h17,,Shaoula,,,,
,Draria,,"36,7226058, 2,9922026
",,,1,1,7h18,7h18,,Shaoula,,,,
,Oued terfa,,"36,7245871, 2,9903543
",,,2,2,7h20,7h20,,Shaoula,,,,
,"La Pérouse
",,"36,8048954, 3,2366156
",,,9,9,6h15,6h15,G2,Tamenfoust,,,,
,"Bordj El bahri
",,"36,7906711, 3,2499146
",,,1,1,6h22,6h22,,Tamenfoust,,,,
,"AADL faizi 1
",,"36,7846009, 3,2523665
",,,1,1,6h27,6h27,G1,Tamenfoust,,,,
,"Aadl faizi 2
",,"36,7843587, 3,2544767
",,,1,1,6h28,6h28,,Tamenfoust,,,,
,"Cité diplomatique
",,"36,7754605, 3,2653783
",,,1,1,6h35,6h35,,Tamenfoust,,,,
,"Dergana
",,"36,7672177, 3,2632888
",,,1,1,6h40,6h40,,Tamenfoust,,,,
,"Dergana 2
",,"36,7643059, 3,2611028
",,,1,1,6h42,6h42,,Tamenfoust,,,,
,"Rond point souachette
",,"36,7524940, 3,2507344
",,,2,2,6h45,6h45,G1,Tamenfoust,,,,
,Stade 20 août,,"36,7443513, 3,0777121",,,1,1,7h00,7h00,,Ruisseau,,,,
,Café boutawi,,"36,7432033, 3,0803682",,,2,2,7h01,7h01,G2,Ruisseau,,,,
,CNAS ruisseau,,"36,7469430, 3,0871321",,,1,1,7h05,7h05,C1,Ruisseau,,,,
,Jardin d'essai,,"36,7503207, 3,0776303",,,1,1,7h07,7h07,,Ruisseau,,,,
,Sofitel,,"36,7517974, 3,0731742",,,0,1,,,,Ruisseau,,,,
,Cnep,,"36,7551188, 3,0663952",,,2,3,,,,Ruisseau,,,,
,Mustapha bacha,,"36,7616659, 3,0562813",,,4,5,,,"G2, C1",Ruisseau,,,,
,CNR,,"36,7583816, 3,0429940",,,1,1,,,,Ruisseau,,,,
,Bir Mourad Rais,,"36,7391730, 3,0499057",,,2,2,,,,Ruisseau,,,,
,Sonatrach,,"36,7413304, 3,0448061",,,1,1,,,,Ruisseau,,,,
,Place Perrine,,"36,7433621, 3,0423965",,,1,2,,,,Ruisseau,,,,
,Place qods,,"36,7473294, 3,0403661",,,2,2,,,C1,Ruisseau,,,,
,Parado,,"36,7479760, 3,0321028",,,1,2,,,,Ruisseau,,,,
,Rond Point parado 2,,"36,7449201, 3,0285328",,,0,1,,,,Ruisseau,,,,
,Maqaria,,"36,7333185, 3,1095225",,,3,3,7h00,7h00,G2,H-dey,,,,
,Parnet,,"36,7344897, 3,1069720",,,0,1,7h05,7h05,S1,H-dey,,,,
,Pharmacie benamadi,,"36,7345005, 3,1062445",,,2,2,7h10,7h10,G1,H-dey,,,,
,H-dey 1,,"36,7362873, 3,1037141",,,2,2,7h12,7h12,,H-dey,,,,
,Brigade gendarmerie,,"36,7415832, 3,0971451",,,1,2,7h13,7h13,,H-dey,,,,
,Lycée aicha,,"36,7413750, 3,0942915",,,1,1,7h15,7h15,,H-dey,,,,
,Les annaceur,,"36,7360111, 3,0759234",,,1,1,7h20,7h20,,H-dey,,,,
,Rond point garidi,,"36,7332357, 3,0618147",,,2,5,7h30,7h30,S2,H-dey,,,,
,Cevital,,"36,7326239, 3,0573602",,,1,1,7h31,7h31,,H-dey,,,,
,El magharia,,"36,7320859, 3,1213238",,,1,1,6h50,6h50,,Bachdjerah,,,,
,Diar jemaa,,"36,7231983, 3,1263848",,,3,3,7h06,7h06,,Bachdjerah,,,,
,Bourouba,,"36,7233160, 3,1254601",,,2,2,7h07,7h07,,Bachdjerah,,,,
,Metro bachjarah,,"36,7216590, 3,1180800",,,3,3,7h08,7h08,G1,Bachdjerah,,,,
,Etusa Bachjarah,,"36,7212903, 3,1155467",,,6,6,7h10,7h10,G1,Bachdjerah,,,,
,Mosquée Abi oubeida,,"36,7199949, 3,1138690",,,1,1,7h11,7h11,,Bachdjerah,,,,
,LPP bachjarah,,"36,7140078, 3,1018969",,,1,1,7h12,7h12,,Bachdjerah,,,,
,Fleuriste,,"36,7116206, 3,0937833",,,2,2,7h15,7h15,,Bachdjerah,,,,
,Stade ain naadja,,"36,7097158, 3,0869567",,,2,2,7h18,7h18,,Bachdjerah,,,,
,Golden training,,"36,7089462, 3,0853135",,,5,5,7h19,7h19,B1,Bachdjerah,,,,
,Station ain naadja,,"36,7085855, 3,0820288",,,1,1,7h20,7h20,G1,Bachdjerah,,,,
,AADL ain naadja,,"36,7122052, 3,0858892",,,2,2,7h22,7h22,,Bachdjerah,,,,
,Hôpital ain naadja,,"36,7229011, 3,0646568",,,1,1,7h27,7h27,G1,Bachdjerah,,,,
,Dar beida auto route,,"36,7137958, 3,2273653",,,1,1,,,G1,El hamiz,,,,
,Pont dar El beida,,"36,7177931, 3,2251615",,,1,1,,,,El hamiz,,,,
,Sntp,,"36,7281673, 3,2167002",,,1,1,,,,El hamiz,,,,
,Mosalaha,,"36,7210441, 3,2005476",,,3,3,,,,El hamiz,,,,
,Fatma nsoumer,,"36,7205854, 3,2147113",,,2,2,7h50,7h50,,El hamiz,,,,
,Poste dar beida,,"36,7221760, 3,2105643",,,1,1,,,,El hamiz,,,,
,Quatre chemins,,"36,7213322, 3,2053330",,,1,2,,,,El hamiz,,,,
,Société générale usthb,,"36,7147166, 3,1891492",,,1,1,,,,El hamiz,,,,
,Usthb jorf,,"36,7190258, 3,1810043",,,3,3,,,,El hamiz,,,,
,Mayo,,"36,7931292, 3,0498322",,,1,1,6h55,6h55,G1,Bab el oued,,,,
,Stade bouloughine,,"36,8017051, 3,0485361",,,1,1,,,,Bab el oued,,,,
,Hôtel bouloughine,,"36,8023277, 3,0480663",,,1,1,,,,Bab el oued,,,,
,La vigie,,"36,8120927, 3,0221820",,,2,2,,,,Bab el oued,,,,
,Usine ciment,,"36,8164260, 3,0168823",,,1,1,,,C1,Bab el oued,,,,
,Rond Point la pointe,,"36,8172082, 3,0094060",,,4,4,,,,Bab el oued,,,,
,Les horizons,,"36,8157727, 3,0010211",,,2,2,,,,Bab el oued,,,,
,Birouma,,"36,8125037, 2,9871634",,,1,1,7h20,7h20,,Bab el oued,,,,
,Tribunal bainem,,"36,8138796, 2,9763588",,,2,2,7h25,7h25,,Bab el oued,,,,
,Elhammamet,,"36,8138423, 2,9695075",,,4,4,7h30,7h30,,Bab el oued,,,,
,Cinclo,,"36,8076244, 2,9460559",,,2,2,,,,Bab el oued,,,,
,Cimetière,,"36,8066317, 2,9371456",,,1,1,7h40,7h40,,Bab el oued,,,,
,Piscine ain El malha,,"36,6939557, 3,0727031",,,2,2,6h45,6h45,,Ain malha,,,,
,Pharmacie,,"36,6926849, 3,0682208",,,1,1,,,,Ain malha,,,,
,Passerelle birkhadem,,"36,7144091, 3,0449017",,,1,1,,,,Ain malha,,,,
,Cimetière,,"36,7132988, 3,0420807",,,1,1,7h00,7h00,,Ain malha,,,,
,Arrêt 2,,"36,7137280, 3,0409840",,,1,1,,,,Ain malha,,,,
,Hôpital Teixrain,,"36,7230527, 3,0206907",,,1,1,7h10,7h10,,Ain malha,,,,
,Sebala,,"36,7218127, 3,0155566",,,1,1,,,,Ain malha,,,,
,Mosquée islah,,"36,7223096, 3,0151292",,,2,2,7h15,7h15,,Ain malha,,,,
,Commecariat draria,,"36,7140428, 3,0005497",,,2,2,,,,Ain malha,,,,
,Quartier 18,,"36,6774629, 2,9178558",,,3,3,6h50,6h50,,Souidania,,,,
,Rahmania,,"36,6849537, 2,9073838",,,2,2,6h55,6h55,,Souidania,,,,
,Souidania 1,,"36,7031389, 2,9082042",,,2,2,7h05,7h05,,Souidania,,,,
,Souidania 2,,"36,7084810, 2,9121528",,,4,4,7h08,7h08,,Souidania,,,,
,Souidania Lpp,,"36,7048525, 2,9184929",,,2,2,7h10,7h10,,Souidania,,,,
,AADL Ouled Fayet,,"36,7048781, 2,9405007",,,1,1,7h15,7h15,,Souidania,,,,
,Cité verte,,"36,7139764, 2,9503260",,,2,2,7h20,7h20,,Souidania,,,,
,Arrêt bus cité verte,,"36,7161956, 2,9525023",,,1,1,7h21,7h21,,Souidania,,,,
,Pharmacie du pont,,"36,7207082, 2,9546339",,,2,2,7h25,7h25,,Souidania,,,,
,Cité semrouni,,"36,7356207, 2,9425466",,,2,2,7h27,7h27,,Souidania,,,,
,Rond Point opéra,,"36,7340343, 2,9339870",,,3,3,7h30,7h30,,Souidania,,,,
,Alger plage,,"36,7803037, 3,2369046",,,1,1,6h20,6h20,,Alger plage,,,,
,Doum ,,"36,7711136, 3,2428319",,,2,2,6h30,6h30,G1,Alger plage,,,,
,Sidi driss,,"36,7660152, 3,2380311",,,1,1,6h31,6h31,,Alger plage,,,,
,Artisanat 1,,"36,7633245, 3,2346519",,,1,1,6h35,6h35,G1,Alger plage,,,,
,Ben Merad,,"36,7563356, 3,2255267",,,1,1,6h40,6h40,,Alger plage,,,,
,Sorecal,,"36,7373679, 3,1928151",,,1,1,6h48,6h48,,Alger plage,,,,
,Marché sorecal,,"36,7351634, 3,1896833",,,2,2,6h40,6h40,G1,Alger plage,,,,
,huit mai,,"36,7366460, 3,1852395",,,1,1,6h55,6h55,,Alger plage,,,,
,Les bananiers,,"36,7316670, 3,1742123",,,5,5,7h02,7h02,G1,Alger plage,,,,
