Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
Cinclo,"36.8076244, 2.9460559",2,Bab el oued,,,,,
Cimetière,"36.8066317, 2.9371456",1,Bab el oued,,,,,
Piscine ain El malha,"36.6939557, 3.0727031",2,Ain malha,,,,,
Pharmacie,"36.6926849, 3.0682208",1,Ain malha,,,,,
Passerelle birkhadem,"36.7144091, 3.0449017",1,Ain malha,,,,,
Cimetière,"36.7132988, 3.0420807",1,Ain malha,,,,,
Arrêt 2,"36.713728, 3.040984",1,Ain malha,,,,,
Hôpital Teixrain,"36.7230527, 3.0206907",1,Ain malha,,,,,
Sebala,"36.7218127, 3.0155566",1,Ain malha,,,,,
Mosquée islah,"36.7223096, 3.0151292",2,Ain malha,,,,,
Commecariat draria,"36.7140428, 3.0005497",2,Ain malha,,,,,
Quartier 18,"36.6774629, 2.9178558",3,Souidania,,,,,
Rahmania,"36.6849537, 2.9073838",2,Souidania,,,,,
Souidania 1,"36.7031389, 2.9082042",2,Souidania,,,,,
Souidania 2,"36.708481, 2.9121528",4,Souidania,,,,,
Souidania Lpp,"36.7048525, 2.9184929",2,Souidania,,,,,
AADL Ouled Fayet,"36.7048781, 2.9405007",1,Souidania,,,,,
Cité verte,"36.7139764, 2.950326",2,Souidania,,,,,
Arrêt bus cité verte,"36.7161956, 2.9525023",1,Souidania,,,,,
Pharmacie du pont,"36.7207082, 2.9546339",2,Souidania,,,,,
Cité semrouni,"36.7356207, 2.9425466",2,Souidania,,,,,
Rond Point opéra,"36.7340343, 2.933987",3,Souidania,,,,,
Alger plage,"36.7803037, 3.2369046",1,Alger plage,,,,,
Doum ,"36.7711136, 3.2428319",2,Alger plage,,,,,
Sidi driss,"36.7660152, 3.2380311",1,Alger plage,,,,,
Artisanat 1,"36.7633245, 3.2346519",1,Alger plage,,,,,
Ben Merad,"36.7563356, 3.2255267",1,Alger plage,,,,,
Sorecal,"36.7373679, 3.1928151",1,Alger plage,,,,,
Marché sorecal,"36.7351634, 3.1896833",2,Alger plage,,,,,
huit mai,"36.736646, 3.1852395",1,Alger plage,,,,,
Les bananiers,"36.731667, 3.1742123",5,Alger plage,,,,,
