Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
"Placette birtouta
","36.6449055, 2.9983127",3,Ouled chebel,,,,,
"Agence de voyage addech
","36.6460356, 3.0002258",1,Ouled chebel,,,,,
"Pharmacie merad
","36.66265, 2.9902986",1,Ouled chebel,,,,,
"douar Boukhris
","36.6703065, 2.9836632",1,Ouled chebel,,,,,
"Opgi khraicia
","36.6718033, 2.9816619",1,Ouled chebel,,,,,
"Cimetière khraicia
","36.6724452, 2.9785364",2,Ouled chebel,,,,,
"Arrêt de bus entré khraicia
","36.6745472, 2.9774029",1,Ouled chebel,,,,,
"Rond point khraicia
","36.677809, 2.9839666",2,Ouled chebel,,,,,
"Arrêt bus Cherchell
","36.6082333, 2.1865415",2,Cherchell,,,,,
"Usine biscuits Cherchell
","36.5980856, 2.2459269",1,Cherchell,,,,,
"Douar boumaaza
","36.5878938, 2.273603",1,Cherchell,,,,,
"Rond Point nadour
","36.5671324, 2.3942994",5,Cherchell,,,,,
"Rond Point chenwa
","36.5874297, 2.4273713",1,Cherchell,,,,,
"Cour de Tipaza
","36.5924694, 2.4554678",2,Cherchell,,,,,
"AADL tipaza
","36.5886858, 2.4664243",3,Cherchell,,,,,
"Jac ma
","36.5899156, 2.5189205",1,Cherchell,,,,,
"Restaurant alama
","36.592383, 2.5616739",1,Cherchell,,,,,
"Mosquée El fath
","36.6025392, 2.6086407",1,Cherchell,,,,,
"Poste ain tagourait
","36.603755, 2.6116441",1,Cherchell,,,,,
"Bouharoun
","36.6212393, 2.6517814",2,Cherchell,,,,,
"La fermette
","36.6273536, 2.663341",2,Cherchell,,,,,
"Rond Point khemisti
","36.633009, 2.6738281",2,Cherchell,,,,,
"Supérette aouane
","36.6378714, 2.6819401",3,Cherchell,,,,,
"Piscine bousmail
","36.6401692, 2.6857401",2,Cherchell,,,,,
"Feu rouge
","36.64295, 2.6903924",2,Cherchell,,,,,
"Agence bus bousmail
","36.6464321, 2.6961153",8,Cherchell,,,,,
"Énergie solaire
","36.6610909, 2.7205592",1,Cherchell,,,,,
Fouka marine,"36.6699612, 2.740126",5,Cherchell,,,,,
"Salle des fêtes Djebel El medda
","36.680104, 2.7688316",2,Cherchell,,,,,
"Oued smar
","36.7095919, 3.1656329",3,Oued smar,,,,,
Ecole mousssaoui,"36.7095432, 3.1626537",1,Oued smar,,,,,
Lycée birouni,"36.7101611, 3.1583018",1,Oued smar,,,,,
"Arrêt pharmacie
","36.7144336, 3.1519698",1,Oued smar,,,,,
"Belfort
","36.7210876, 3.1465091",1,Oued smar,,,,,
"Rue des cordonniers
","36.7191242, 3.1383542",1,Oued smar,,,,,
Boucherie,"36.716793, 3.1368629",1,Oued smar,,,,,
"Dépôt
","36.7105192, 3.1317127",2,Oued smar,,,,,
"commissariat
","36.7065478, 3.1278108",2,Oued smar,,,,,
"Hôpital zemirli
","36.7043176, 3.1255332",2,Oued smar,,,,,
"Ouled maamar
","36.7723839, 3.2937885",2,Hraoua,,,,,
"Station naftal ain kahla
","36.7704164, 3.3151725",2,Hraoua,,,,,
"Ain kahla
","36.7652857, 3.3282764",1,Hraoua,,,,,
"Rond Point ain kahla
","36.7589439, 3.3339536",1,Hraoua,,,,,
"Intersection DNC
","36.7506855, 3.3423556",2,Hraoua,,,,,
DNC 1,"36.7478315, 3.3424623",1,Hraoua,,,,,
DNC 2,"36.7461959, 3.3425689",3,Hraoua,,,,,
"Gare reghaia
","36.7358251, 3.342584",1,Hraoua,,,,,
"Agence reghaia
","36.7339953, 3.3439264",1,Hraoua,,,,,
"Kerouch  1
","36.7342044, 3.3680411",1,Hraoua,,,,,
Kerouch  2,"36.7326064, 3.3728678",4,Hraoua,,,,,
"AADL 1104
","36.6883261, 2.9651566",1,Baba hassen,,,,,
"Stade AADL
","36.6875698, 2.9678465",1,Baba hassen,,,,,
"Mosquée El khayma
","36.6884944, 2.9704449",4,Baba hassen,,,,,
Baba hassen villa,"36.6920967, 2.9725933",2,Baba hassen,,,,,
Polyclinique,"36.69298077154031, 2.982275653811517",1,Baba hassen,,,,,
Fleuriste,"36.6959201, 2.974025",1,Baba hassen,,,,,
"Lycée belkadi
","36.6987261, 2.9775256",2,Baba hassen,,,,,
"Rond point kartala
","36.6967435, 2.9798299",1,Baba hassen,,,,,
"Cité 3 Ouled Fayet
","36.7291019, 2.9543825",3,Baba hassen,,,,,
"Rue Bouderbala
","36.7346432, 2.9528406",1,Baba hassen,,,,,
"Quatre chemins
","36.7371468, 2.9498053",2,Baba hassen,,,,,
"Supérette Belkacemi
","36.7403189, 2.95038",3,Baba hassen,,,,,
"Rond Point Ooredoo
","36.7444996, 2.9500443",3,Baba hassen,,,,,
Bessa,"36.7452148, 2.9444975",2,Baba hassen,,,,,
"Mojam3 khalifa
","36.7533829, 2.9440758",1,Baba hassen,,,,,
Cité hayat grossiste,"36.7046687, 3.0894173",1,Ain naadja,,,,,
"Arrêt de bus cité hayat
","36.7047625, 3.0944615",1,Ain naadja,,,,,
Semar,"36.6955461, 3.0916311",1,Ain naadja,,,,,
ain naadja escaliers,"36.694191, 3.0781493",1,Ain naadja,,,,,
"Mosquée El Rahman
","36.6958916, 3.0769313",3,Ain naadja,,,,,
Chateau,"36.7031446, 3.0711592",3,Ain naadja,,,,,
"Sorecal ain naadja
","36.7059562, 3.0643799",4,Ain naadja,,,,,
"Zonka banque
","36.7114274, 3.0620236",1,Ain naadja,,,,,
Sidi mbarek,"36.7148864, 3.0545959",1,Ain naadja,,,,,
"Birkhadem
","36.7160238, 3.0498812",5,Ain naadja,,,,,
"Les vergers ( colital )
","36.7236208, 3.0500582",2,Ain naadja,,,,,
"La côte
","36.7325113, 3.0495409",1,Ain naadja,,,,,
La wilaya,"36.7778772, 3.0604582",1,Mauritania,,,,,
"Hôtel la famille
","36.7896041, 3.059969",4,Mauritania,,,,,
"Okba
","36.7891007, 3.0573404",1,Mauritania,,,,,
"Serkaji
","36.7857822, 3.0556295",3,Mauritania,,,,,
"Les barreaux rouge
","36.7845881, 3.0447692",3,Mauritania,,,,,
climat de france,"36.7854334, 3.0457395",2,Mauritania,,,,,
Triolet,"36.7880782, 3.0445801",7,Mauritania,,,,,
Carnot,"36.7728864, 3.0221857",2,Mauritania,,,,,
chevally,"36.7699155, 3.0119578",5,Mauritania,,,,,
"AADL Douera
","36.6773871, 2.9609455",4,Douera,,,,,
"Stop Douera
","36.6709366, 2.9620794",1,Douera,,,,,
"Arrêt bus
","36.6700198, 2.9549555",2,Douera,,,,,
Stade communal,"36.6685814, 2.947979",2,Douera,,,,,
Café djabou,"36.6782279, 2.9414539",1,Douera,,,,,
Rond Point AADL,"36.6863204, 2.9434418",9,Douera,,,,,
Aadl baba Hassen,"36.6819525, 2.9441495",1,Douera,,,,,
AADL baba Hassen 2,"36.6825599, 2.9467191",2,Douera,,,,,
Sortie autoroute,"36.6867933, 2.9507699",2,Douera,,,,,
Issou,"36.6859079, 2.9607916",3,Douera,,,,,
Clinique médical,"36.6925871, 2.9653873",3,Douera,,,,,
arrêt taxi,"36.6977234, 2.9664786",3,Douera,,,,,
Résidence les lilas ,"36.7127925, 2.96189",1,Douera,,,,,
AADL 1200 tonic,"36.6420693, 2.7218769",2,Fouka,,,,,
Chaik 2,"36.6425898, 2.7323016",5,Fouka,,,,,
Chaiba,"36.6252392, 2.7211108",6,Fouka,,,,,
Rond point bou Ismaël,"36.6394485, 2.6963831",1,Fouka,,,,,
Placette bou Ismaël,"36.6608913, 2.7419985",5,Fouka,,,,,
Benhani,"36.6572329, 2.7447166",3,Fouka,,,,,
Salle de sport sortie fouka,"36.6518513, 2.7525583",2,Fouka,,,,,
Kerkouba,"36.6456837, 2.7593014",5,Fouka,,,,,
Olympique,"36.6422552, 2.7528939",1,Fouka,,,,,
"Station NAFTAL kolea
","36.6384859, 2.7562474",1,Fouka,,,,,
Cnas,"36.6380124, 2.7661414",2,Fouka,,,,,
Cimetière kolea,"36.6431744, 2.77482",8,Fouka,,,,,
Saint Maurice,"36.6649093, 2.7842634",3,Fouka,,,,,
Arrêt de bus douaouda,"36.6734625, 2.7877707",2,Fouka,,,,,
Sortie douaouda,"36.6787673, 2.7982182",2,Fouka,,,,,
