Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,Heure,Heure de départ
Lycée aicha,"[36.741375, 3.0942915]",1,H-dey,6h51,6h51
Les annaceur,"[36.7360111, 3.0759234]",1,H-dey,6h54,6h54
Rond point garidi,"[36.7332357, 3.0618147]",5,H-dey,6h56,6h56
Cevital,"[36.7326239, 3.0573602]",1,H-dey,6h56,6h56
El magharia,"[36.7320859, 3.1213238]",1,Bachdjerah,6h40,6h40
Diar jemaa,"[36.7231983, 3.1263848]",3,Bachdjerah,6h43,6h43
Bourouba,"[36.723316, 3.1254601]",2,Bachdjerah,6h43,6h43
Metro bachjarah,"[36.721659, 3.11808]",3,Bachdjerah,6h43,6h43
Etusa Bachjarah,"[36.7212903, 3.1155467]",6,Bachdjerah,6h43,6h43
Mosquée Abi oubeida,"[36.7199949, 3.113869]",1,Bachdjerah,6h43,6h43
LPP bachjarah,"[36.7140078, 3.1018969]",1,Bachdjerah,6h44,6h44
Fleuriste,"[36.7116206, 3.0937833]",2,Bachdjerah,6h45,6h45
Stade ain naadja,"[36.7097158, 3.0869567]",2,Bachdjerah,6h46,6h46
Golden training,"[36.7089462, 3.0853135]",5,Bachdjerah,6h46,6h46
Station ain naadja,"[36.7085855, 3.0820288]",1,Bachdjerah,6h46,6h46
AADL ain naadja,"[36.7122052, 3.0858892]",2,Bachdjerah,6h46,6h46
Hôpital ain naadja,"[36.7229011, 3.0646568]",1,Bachdjerah,6h50,6h50
Dar beida auto route,"[36.7137958, 3.2273653]",1,El hamiz,6h10,6h10
Pont dar El beida,"[36.7177931, 3.2251615]",1,El hamiz,6h18,6h18
Sntp,"[36.7281673, 3.2167002]",1,El hamiz,6h20,6h20
Mosalaha,"[36.7210441, 3.2005476]",3,El hamiz,6h24,6h24
Fatma nsoumer,"[36.7205854, 3.2147113]",2,El hamiz,6h28,6h28
Poste dar beida,"[36.722176, 3.2105643]",1,El hamiz,6h29,6h29
Quatre chemins,"[36.7213322, 3.205333]",2,El hamiz,6h29,6h29
Société générale usthb,"[36.7147166, 3.1891492]",1,El hamiz,6h36,6h36
Usthb jorf,"[36.7190258, 3.1810043]",3,El hamiz,6h37,6h37
"Oued smar
","[36.7095919, 3.1656329]",3,El hamiz,6h39,6h39
Ecole mousssaoui,"[36.7095432, 3.1626537]",1,El hamiz,6h40,6h40
Lycée birouni,"[36.7101611, 3.1583018]",1,El hamiz,6h42,6h42
"Arrêt pharmacie
","[36.7144336, 3.1519698]",1,El hamiz,6h43,6h43
"Belfort
","[36.7210876, 3.1465091]",1,El hamiz,6h44,6h44
"Rue des cordonniers
","[36.7191242, 3.1383542]",1,El hamiz,6h45,6h45
Boucherie,"[36.716793, 3.1368629]",1,El hamiz,6h45,6h45
"Dépôt
","[36.7105192, 3.1317127]",2,El hamiz,6h46,6h46
"commissariat
","[36.7065478, 3.1278108]",2,El hamiz,6h46,6h46
"Hôpital zemirli
","[36.7043176, 3.1255332]",2,El hamiz,6h46,6h46
Triolet,"[36.7880782, 3.0445801]",7,Bab el oued,6h40,6h40
climat de france,"[36.7854334, 3.0457395]",2,Bab el oued,6h43,6h43
"Les barreaux rouge
","[36.7845881, 3.0447692]",3,Bab el oued,6h46,6h46
"Serkaji
","[36.7857822, 3.0556295]",3,Bab el oued,6h50,6h50
"Okba
","[36.7891007, 3.0573404]",1,Bab el oued,6h52,6h52
"Hôtel la famille
","[36.7896041, 3.059969]",4,Bab el oued,6h52,6h52
Mayo,"[36.7931292, 3.0498322]",1,Bab el oued,6h56,6h56
Stade bouloughine,"[36.8017051, 3.0485361]",1,Bab el oued,6h58,6h58
Hôtel bouloughine,"[36.8023277, 3.0480663]",1,Bab el oued,6h58,6h58
La vigie,"[36.8120927, 3.022182]",2,Bab el oued,7h1,7h1
Usine ciment,"[36.816426, 3.0168823]",1,Bab el oued,7h1,7h1
Rond Point la pointe,"[36.8172082, 3.009406]",4,Bab el oued,7h1,7h1
Les horizons,"[36.8157727, 3.0010211]",2,Bab el oued,7h1,7h1
Birouma,"[36.8125037, 2.9871634]",1,Bab el oued,7h2,7h2
Tribunal bainem,"[36.8138796, 2.9763588]",2,Bab el oued,7h3,7h3
Elhammamet,"[36.8138423, 2.9695075]",4,Bab el oued,7h3,7h3
Cinclo,"[36.8076244, 2.9460559]",2,Bab el oued,7h5,7h5
Cimetière,"[36.8066317, 2.9371456]",1,Bab el oued,7h5,7h5
Piscine ain El malha,"[36.6939557, 3.0727031]",2,Ain malha,6h40,6h40
Pharmacie,"[36.6926849, 3.0682208]",1,Ain malha,6h40,6h40
Passerelle birkhadem,"[36.7144091, 3.0449017]",1,Ain malha,6h43,6h43
Cimetière,"[36.7132988, 3.0420807]",1,Ain malha,6h44,6h44
Arrêt 2,"[36.713728, 3.040984]",1,Ain malha,6h44,6h44
Hôpital Teixrain,"[36.7230527, 3.0206907]",1,Ain malha,6h47,6h47
Sebala,"[36.7218127, 3.0155566]",1,Ain malha,6h48,6h48
Mosquée islah,"[36.7223096, 3.0151292]",2,Ain malha,6h48,6h48
Commecariat draria,"[36.7140428, 3.0005497]",2,Ain malha,6h51,6h51
Quartier 18,"[36.6774629, 2.9178558]",3,Souidania,6h50,
Rahmania,"[36.6849537, 2.9073838]",2,Souidania,6h51,
Souidania 1,"[36.7031389, 2.9082042]",2,Souidania,6h55,
Souidania 2,"[36.708481, 2.9121528]",4,Souidania,6h56,
Souidania Lpp,"[36.7048525, 2.9184929]",2,Souidania,6h56,
AADL Ouled Fayet,"[36.7048781, 2.9405007]",1,Souidania,6h58,
Cité verte,"[36.7139764, 2.950326]",2,Souidania,7h0,
Arrêt bus cité verte,"[36.7161956, 2.9525023]",1,Souidania,7h0,
Pharmacie du pont,"[36.7207082, 2.9546339]",2,Souidania,7h0,
Cité semrouni,"[36.7356207, 2.9425466]",2,Souidania,7h3,
Rond Point opéra,"[36.7340343, 2.933987]",3,Souidania,7h3,
