Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,Heure,Heure de départ
Boulevard 20 mètres,"[36.4784343, 2.8191287]",1,Blida,6h34,6h34
Rond point sidi Abdelkader,"[36.4814984, 2.8099599]",2,Blida,6h35,6h35
Descente du pont,"[36.4889518, 2.8228074]",2,Blida,6h38,6h38
Stade tchaker,"[36.4880793, 2.8495242]",1,Blida,6h41,6h41
Ouled yaich poste,"[36.4934336, 2.8580174]",3,Blida,6h43,6h43
Ben fares,"[36.4960847, 2.8507382]",1,Blida,6h45,6h45
Rond point beni merad,"[36.5234075, 2.8620967]",3,Blida,6h51,6h51
Gourouaou,"[36.5121094, 2.8175258]",1,Blida,6h57,6h57
Cem youssef,"[36.5681317, 3.1698688]",1,Larbaa,6h15,6h15
N8,"[36.5586548, 3.1593338]",1,Larbaa,6h18,6h18
2024-07-05 00:00:00,"[36.5526403, 3.1558935]",2,Larbaa,6h19,6h19
Bendali,"[36.575691, 3.1373014]",1,Larbaa,6h23,6h23
Sidi moussa,"[36.6043625, 3.0894693]",2,Larbaa,6h28,6h28
Dhimat,"[36.6197308, 3.1074364]",1,Larbaa,6h30,6h30
Ben talha,"[36.6505897, 3.0860082]",2,Larbaa,6h36,6h36
Baraki,"[36.6637518, 3.0933605]",2,Larbaa,6h40,6h40
Baraki daira,"[36.6680981, 3.0957295]",2,Larbaa,6h42,6h42
forsan,"[36.674718, 3.0908124]",4,Larbaa,6h44,6h44
baba ali station de bus,"[36.6722163, 3.0493961]",3,Larbaa,6h49,6h49
Haouch lgazouz,"[36.6589629, 3.0081262]",2,Larbaa,6h54,6h54
Fleuriste Soumaa,"[36.5208888, 2.9155518]",1,Soumaa,6h30,6h30
Chabi,"[36.5341262, 2.9151126]",1,Soumaa,6h31,6h31
"Masjid Ali ben Abi talib
","[36.577026, 2.9066489]",2,Soumaa,6h37,6h37
Pharmacie Boufarik,"[36.5789828, 2.9067029]",1,Soumaa,6h37,6h37
"Bâtiments Ouled sidi Mhamed , birtouta
","[36.621802, 2.9578395]",9,Soumaa,6h48,6h48
"Tassala el merdja , 932 logements
","[36.6414651, 2.9473246]",2,Soumaa,6h54,6h54
"1310 logements, tassala elmerdja
","[36.6377632, 2.9466255]",5,Soumaa,6h56,6h56
"Ben chaaban 1
","[36.6199565, 2.8727002]",1,Mahelma,6h30,6h30
"Zaatria
","[36.6432616, 2.8678913]",2,Mahelma,6h35,6h35
Quartier 23,"[36.6419767, 2.8854873]",6,Mahelma,6h37,6h37
commissariat sidi bennour,"[36.6558948, 2.8782148]",1,Mahelma,6h39,6h39
"Mahelma cimetière
","[36.6768974, 2.8817989]",2,Mahelma,6h43,6h43
"Rond point 11 décembre
","[36.675621, 2.8839088]",3,Mahelma,6h43,6h43
"Douar mahelma
","[36.6734151, 2.8919172]",5,Mahelma,6h43,6h43
"Terrain tenis
","[36.6835852, 2.8787214]",1,Mahelma,6h45,6h45
"Station NAFTAl Belle Vue
","[36.6867134, 2.8753512]",1,Mahelma,6h45,6h45
"Sidi Abdellah université
","[36.6941678, 2.868239]",1,Mahelma,6h47,6h47
"Arrêt de bus zeralda
","[36.7136394, 2.8452514]",7,Mahelma,6h50,6h50
"Geni zeralda
","[36.719287, 2.8497123]",1,Mahelma,6h51,6h51
"La caf moul
","[36.7320464, 2.8619096]",1,Mahelma,6h53,6h53
Entrée belouta,"[36.729465, 2.8761961]",1,Mahelma,6h55,6h55
Belouta ville,"[36.7280488, 2.8889943]",3,Mahelma,6h56,6h56
Belouta haouch,"[36.7319959, 2.900562]",1,Mahelma,6h57,6h57
"Bouchaoui
","[36.7434513, 2.9146838]",7,Mahelma,6h59,6h59
"Mosquée Abi moussa El achaari
","[36.6033322, 2.9967379]",1,Ouled chebel,6h20,6h20
"El hajra mhamdia
","[36.6114895, 2.9964549]",1,Ouled chebel,6h21,6h21
"Poste chaibia
","[36.6239684, 2.9902533]",4,Ouled chebel,6h25,6h25
"Sidi Mhamed si lakhder
","[36.6246669, 2.9691544]",1,Ouled chebel,6h28,6h28
"Opgi birtouta
","[36.6441843, 2.9868808]",1,Ouled chebel,6h34,6h34
"Cem soualmia
","[36.645875, 2.9861204]",2,Ouled chebel,6h34,6h34
"Terminus Etusa
","[36.6463823, 2.9874917]",2,Ouled chebel,6h34,6h34
"APC birtouta
","[36.6452974, 2.9917148]",1,Ouled chebel,6h36,6h36
"Centre de Formation
","[36.642981, 2.9927522]",1,Ouled chebel,6h37,6h37
"Placette birtouta
","[36.6449055, 2.9983127]",3,Ouled chebel,6h37,6h37
"Agence de voyage addech
","[36.6460356, 3.0002258]",1,Ouled chebel,6h37,6h37
"Pharmacie merad
","[36.66265, 2.9902986]",1,Ouled chebel,6h40,6h40
"douar Boukhris
","[36.6703065, 2.9836632]",1,Ouled chebel,6h42,6h42
"Opgi khraicia
","[36.6718033, 2.9816619]",1,Ouled chebel,6h43,6h43
"Cimetière khraicia
","[36.6724452, 2.9785364]",2,Ouled chebel,6h44,6h44
"Arrêt de bus entré khraicia
","[36.6745472, 2.9774029]",1,Ouled chebel,6h45,6h45
"Rond point khraicia
","[36.677809, 2.9839666]",2,Ouled chebel,6h45,6h45
"Arrêt bus Cherchell
","[36.6082333, 2.1865415]",2,Cherchell,5h45,5h45
"Usine biscuits Cherchell
","[36.5980856, 2.2459269]",1,Cherchell,5h51,5h51
"Douar boumaaza
","[36.5878938, 2.273603]",1,Cherchell,5h54,5h54
"Rond Point nadour
","[36.5671324, 2.3942994]",5,Cherchell,6h4,6h4
"Rond Point chenwa
","[36.5874297, 2.4273713]",1,Cherchell,6h11,6h11
"Cour de Tipaza
","[36.5924694, 2.4554678]",2,Cherchell,6h14,6h14
"AADL tipaza
","[36.5886858, 2.4664243]",3,Cherchell,6h17,6h17
"Jac ma
","[36.5899156, 2.5189205]",1,Cherchell,6h23,6h23
"Restaurant alama
","[36.592383, 2.5616739]",1,Cherchell,6h26,6h26
"Mosquée El fath
","[36.6025392, 2.6086407]",1,Cherchell,6h30,6h30
"Poste ain tagourait
","[36.603755, 2.6116441]",1,Cherchell,6h30,6h30
"Bouharoun
","[36.6212393, 2.6517814]",2,Cherchell,6h34,6h34
"La fermette
","[36.6273536, 2.663341]",2,Cherchell,6h35,6h35
"Rond Point khemisti
","[36.633009, 2.6738281]",2,Cherchell,6h36,6h36
"Supérette aouane
","[36.6378714, 2.6819401]",3,Cherchell,6h37,6h37
"Piscine bousmail
","[36.6401692, 2.6857401]",2,Cherchell,6h37,6h37
"Feu rouge
","[36.64295, 2.6903924]",2,Cherchell,6h37,6h37
"Agence bus bousmail
","[36.6464321, 2.6961153]",8,Cherchell,6h37,6h37
"Énergie solaire
","[36.6610909, 2.7205592]",1,Cherchell,6h39,6h39
Fouka marine,"[36.6699612, 2.740126]",5,Cherchell,6h41,6h41
"Salle des fêtes Djebel El medda
","[36.680104, 2.7688316]",2,Cherchell,6h44,6h44
"Ouled maamar
","[36.7723839, 3.2937885]",2,Hraoua,6h15,6h15
"Station naftal ain kahla
","[36.7704164, 3.3151725]",2,Hraoua,6h19,6h19
"Ain kahla
","[36.7652857, 3.3282764]",1,Hraoua,6h20,6h20
"Rond Point ain kahla
","[36.7589439, 3.3339536]",1,Hraoua,6h22,6h22
"Intersection DNC
","[36.7506855, 3.3423556]",2,Hraoua,6h23,6h23
DNC 1,"[36.7478315, 3.3424623]",1,Hraoua,6h23,6h23
DNC 2,"[36.7461959, 3.3425689]",3,Hraoua,6h23,6h23
"Gare reghaia
","[36.7358251, 3.342584]",1,Hraoua,6h24,6h24
"Agence reghaia
","[36.7339953, 3.3439264]",1,Hraoua,6h24,6h24
"Kerouch  1
","[36.7342044, 3.3680411]",1,Hraoua,6h27,6h27
Kerouch  2,"[36.7326064, 3.3728678]",4,Hraoua,6h27,6h27
"AADL 1104
","[36.6883261, 2.9651566]",1,Baba hassen,6h45,6h45
"Stade AADL
","[36.6875698, 2.9678465]",1,Baba hassen,6h46,6h46
"Mosquée El khayma
","[36.6884944, 2.9704449]",4,Baba hassen,6h46,6h46
Baba hassen villa,"[36.6920967, 2.9725933]",2,Baba hassen,6h48,6h48
Polyclinique,"[36.69298077154031, 2.982275653811517]",1,Baba hassen,6h51,6h51
Fleuriste,"[36.6959201, 2.974025]",1,Baba hassen,6h52,6h52
"Lycée belkadi
","[36.6987261, 2.9775256]",2,Baba hassen,6h52,6h52
"Rond point kartala
","[36.6967435, 2.9798299]",1,Baba hassen,6h52,6h52
"Cité 3 Ouled Fayet
","[36.7291019, 2.9543825]",3,Baba hassen,6h58,6h58
"Rue Bouderbala
","[36.7346432, 2.9528406]",1,Baba hassen,6h59,6h59
"Quatre chemins
","[36.7371468, 2.9498053]",2,Baba hassen,6h59,6h59
"Supérette Belkacemi
","[36.7403189, 2.95038]",3,Baba hassen,6h59,6h59
"Rond Point Ooredoo
","[36.7444996, 2.9500443]",3,Baba hassen,6h59,6h59
Bessa,"[36.7452148, 2.9444975]",2,Baba hassen,7h0,7h0
"Mojam3 khalifa
","[36.7533829, 2.9440758]",1,Baba hassen,7h2,7h2
Cité hayat grossiste,"[36.7046687, 3.0894173]",1,Ain naadja,6h40,6h40
"Arrêt de bus cité hayat
","[36.7047625, 3.0944615]",1,Ain naadja,6h42,6h42
Semar,"[36.6955461, 3.0916311]",1,Ain naadja,6h43,6h43
ain naadja escaliers,"[36.694191, 3.0781493]",1,Ain naadja,6h45,6h45
"Mosquée El Rahman
","[36.6958916, 3.0769313]",3,Ain naadja,6h45,6h45
Chateau,"[36.7031446, 3.0711592]",3,Ain naadja,6h46,6h46
"Sorecal ain naadja
","[36.7059562, 3.0643799]",4,Ain naadja,6h46,6h46
"Zonka banque
","[36.7114274, 3.0620236]",1,Ain naadja,6h46,6h46
Sidi mbarek,"[36.7148864, 3.0545959]",1,Ain naadja,6h46,6h46
"Birkhadem
","[36.7160238, 3.0498812]",5,Ain naadja,6h46,6h46
"Les vergers ( colital )
","[36.7236208, 3.0500582]",2,Ain naadja,6h47,6h47
"La côte
","[36.7325113, 3.0495409]",1,Ain naadja,6h49,6h49
"AADL Douera
","[36.6773871, 2.9609455]",4,Douera,6h45,6h45
"Stop Douera
","[36.6709366, 2.9620794]",1,Douera,6h47,6h47
"Arrêt bus
","[36.6700198, 2.9549555]",2,Douera,6h47,6h47
Stade communal,"[36.6685814, 2.947979]",2,Douera,6h47,6h47
Café djabou,"[36.6782279, 2.9414539]",1,Douera,6h48,6h48
Rond Point AADL,"[36.6863204, 2.9434418]",9,Douera,6h50,6h50
Aadl baba Hassen,"[36.6819525, 2.9441495]",1,Douera,6h51,6h51
AADL baba Hassen 2,"[36.6825599, 2.9467191]",2,Douera,6h51,6h51
Sortie autoroute,"[36.6867933, 2.9507699]",2,Douera,6h51,6h51
Issou,"[36.6859079, 2.9607916]",3,Douera,6h53,6h53
Clinique médical,"[36.6925871, 2.9653873]",3,Douera,6h54,6h54
arrêt taxi,"[36.6977234, 2.9664786]",3,Douera,6h55,6h55
Résidence les lilas ,"[36.7127925, 2.96189]",1,Douera,6h56,6h56
AADL 1200 tonic,"[36.6420693, 2.7218769]",2,Fouka,6h10,6h10
Chaik 2,"[36.6425898, 2.7323016]",5,Fouka,6h11,6h11
Chaiba,"[36.6252392, 2.7211108]",6,Fouka,6h16,6h16
Rond point bou Ismaël,"[36.6394485, 2.6963831]",1,Fouka,6h19,6h19
Placette bou Ismaël,"[36.6608913, 2.7419985]",5,Fouka,6h25,6h25
Benhani,"[36.6572329, 2.7447166]",3,Fouka,6h26,6h26
Salle de sport sortie fouka,"[36.6518513, 2.7525583]",2,Fouka,6h27,6h27
Kerkouba,"[36.6456837, 2.7593014]",5,Fouka,6h28,6h28
Olympique,"[36.6422552, 2.7528939]",1,Fouka,6h29,6h29
"Station NAFTAL kolea
","[36.6384859, 2.7562474]",1,Fouka,6h30,6h30
Cnas,"[36.6380124, 2.7661414]",2,Fouka,6h31,6h31
Cimetière kolea,"[36.6431744, 2.77482]",8,Fouka,6h32,6h32
Saint Maurice,"[36.6649093, 2.7842634]",3,Fouka,6h35,6h35
Arrêt de bus douaouda,"[36.6734625, 2.7877707]",2,Fouka,6h36,6h36
Sortie douaouda,"[36.6787673, 2.7982182]",2,Fouka,6h38,6h38
Naftal zeralda ,"[36.7016503, 2.8360733]",6,Fouka,6h43,6h43
Aissani,"[36.8022066, 2.9198283]",7,Ain beniane 1,6h50,6h50
Rond Point la Madrague,"[36.8013032, 2.9089314]",3,Ain beniane 1,6h51,6h51
École police,"[36.7966238, 2.9052173]",7,Ain beniane 1,6h52,6h52
Zigadi,"[36.7893719, 2.9028603]",7,Ain beniane 1,6h52,6h52
Plateau,"[36.7848066, 2.9491143]",1,Ain beniane 2,6h50,6h50
Grand rocher,"[36.8028093, 2.9406338]",3,Ain beniane 2,6h54,6h54
Anade,"[36.7987045, 2.9289384]",3,Ain beniane 2,6h55,6h55
Sonelgaz,"[36.7943471, 2.9342911]",1,Ain beniane 2,6h55,6h55
Pharmacie dey,"[36.7914613, 2.9392116]",1,Ain beniane 2,6h55,6h55
Hai chenawa,"[36.7883019, 2.9148906]",5,Ain beniane 2,6h57,6h57
Stade belle vue,"[36.7887699, 2.9128344]",2,Ain beniane 2,6h57,6h57
Maison de jeunes,"[36.7905895, 2.9111926]",1,Ain beniane 2,6h57,6h57
Association bir w ihssen,"[36.7943353, 2.9125712]",2,Ain beniane 2,6h57,6h57
Bâtiments ain benian,"[36.7972601, 2.9127412]",3,Ain beniane 2,6h57,6h57
"SARL djaouad
","[36.7989144, 2.912586]",2,Ain beniane 2,6h57,6h57
Entrée cheraga,"[36.7708781, 2.9185673]",4,Ain beniane 2,7h3,7h3
Sidi serhan,"[36.5043507, 2.9989471]",1,Bouinane,6h10,6h10
Boulangerie serine,"[36.5312584, 2.9614887]",2,Bouinane,6h17,6h17
AADL 2000,"[36.532533, 2.9612486]",1,Bouinane,6h17,6h17
AADL 3000,"[36.5389002, 2.9598492]",1,Bouinane,6h20,6h20
Haouch lgereoun,"[36.5399355, 2.9670325]",1,Bouinane,6h21,6h21
Hai wouroud,"[36.5399435, 2.9680923]",2,Bouinane,6h21,6h21
3100 arrêt 1,"[36.5386282, 2.9810949]",1,Bouinane,6h22,6h22
Cem chetouan,"[36.5352862, 2.9823449]",4,Bouinane,6h23,6h23
Cem 2,"[36.5350728, 2.9812287]",2,Bouinane,6h23,6h23
Arrêt prochain,"[36.5342056, 2.9822899]",3,Bouinane,6h23,6h23
Déviation,"[36.5342636, 2.9870199]",6,Bouinane,6h24,6h24
4500,"[36.5387839, 2.9929835]",4,Bouinane,6h27,6h27
Tabainat,"[36.53461, 3.0411999]",3,Bouinane,6h32,6h32
AADL Aslan,"[36.6803586, 2.8421662]",5,Sidi abdellah,6h30,6h30
Aslan rond Point 2,"[36.6783809, 2.8421015]",6,Sidi abdellah,6h30,6h30
Cem sidi Abdellah,"[36.6718237, 2.8431476]",1,Sidi abdellah,6h31,6h31
AADL 5000,"[36.6745744, 2.8480758]",4,Sidi abdellah,6h33,6h33
"5000 arrêt 2
","[36.676632, 2.8498719]",1,Sidi abdellah,6h35,6h35
"Bâtiment N8
","[36.6813744, 2.8509558]",2,Sidi abdellah,6h35,6h35
Bâtiment R1,"[36.6809972, 2.8554284]",3,Sidi abdellah,6h35,6h35
Boucherie lina,"[36.6860044, 2.854209]",3,Sidi abdellah,6h36,6h36
Boulevard Hocine ait ahmed,"[36.6873662, 2.8570981]",1,Sidi abdellah,6h36,6h36
Air de sport,"[36.6901739, 2.8601893]",2,Sidi abdellah,6h37,6h37
"New Town
","[36.6901736, 2.8556762]",1,Sidi abdellah,6h38,6h38
"CAAR sidi Abdellah
","[36.6902949, 2.8541725]",1,Sidi abdellah,6h38,6h38
"Poste sidi Abdellah
","[36.6909272, 2.8503416]",6,Sidi abdellah,6h38,6h38
Hôpital des grands brûlés zeralda,"[36.6990339, 2.8441142]",1,Sidi abdellah,6h39,6h39
Cité police sidi menif,"[36.6939256, 2.8253458]",3,Zeralda,7h0,7h0
Sidi menif,"[36.6972701, 2.8240784]",1,Zeralda,7h0,7h0
Gare routière zeralda,"[36.7128185, 2.833789]",3,Zeralda,7h2,7h2
Beridja,"[36.7429712, 2.8702443]",3,Zeralda,7h8,7h8
Hôtel riad,"[36.7573598, 2.8518799]",1,Zeralda,7h11,7h11
Centre de  vacances netcom,"[36.7561903, 2.8589106]",1,Zeralda,7h12,7h12
Hai Khaled ibn walid,"[36.7506361, 2.8720994]",1,Zeralda,7h13,7h13
Staoueli centre,"[36.748613, 2.8852667]",5,Zeralda,7h14,7h14
Parc communal,"[36.7554013, 2.8888813]",1,Zeralda,7h14,7h14
Club des pins,"[36.7649186, 2.8958952]",1,Zeralda,7h15,7h15
AADL 3000 logement,"[36.6315561, 3.3427134]",2,Khmiss el khechna ,6h25,6h25
Rond point pompiers,"[36.6607315, 3.3308966]",1,Khmiss el khechna ,6h31,6h31
El djoumhouria,"[36.6753921, 3.1938816]",1,Khmiss el khechna ,6h49,6h49
Remadnia,"[36.6670436, 3.1790517]",1,Khmiss el khechna ,6h51,6h51
Hai El amir ,"[36.6745112, 3.1701665]",1,Khmiss el khechna ,6h52,6h52
Ouled El hadj,"[36.6603604, 3.1548173]",4,Khmiss el khechna ,6h58,6h58
Foyer,"[36.6639608, 3.1479817]",3,Khmiss el khechna ,6h59,6h59
AADL lotissement,"[36.6659278, 3.1446658]",3,Khmiss el khechna ,7h0,7h0
Rond Point eucalyptus,"[36.6526068, 3.1473131]",1,Khmiss el khechna ,7h2,7h2
Baba Ali autoroute,"[36.6489295, 3.0475202]",2,Khmiss el khechna ,7h10,7h10
Crèche la fonton,"[36.7865576, 3.0240143]",1,Bouzereah 1,6h50,6h50
Dar El alia,"[36.7900845, 3.0189476]",1,Bouzereah 1,6h52,6h52
Cimetière sidi Mhamed,"[36.7927694, 3.0117734]",2,Bouzereah 1,6h53,6h53
Cfpa,"[36.7970268, 3.0083217]",1,Bouzereah 1,6h54,6h54
Bouhamem,"[36.7968458, 3.0039145]",2,Bouzereah 1,6h54,6h54
Bousmaha,"[36.7963934, 2.9940554]",3,Bouzereah 1,6h54,6h54
Sidi Youssef,"[36.796823, 2.9891677]",1,Bouzereah 1,6h54,6h54
